stop_id,stop_name,stop_lat,stop_lon,location_type
740000716,Mörby centrum T-bana,59.398709,18.036220,null
740000759,Solna station,59.365103,18.010037,null
740001167,Ålsten Ålstens gård Spårv,59.320606,17.952079,null
740001174,Stockholm Frihamnen,59.341502,18.117975,null
740001179,Karolinska sjukhuset norra,59.353035,18.032203,null
740001181,Nockeby Spårv,59.328641,17.918706,null
740001541,Stockholm Citytermin Kungsbron,59.333196,18.054315,null
740004046,Liljeholmen T-bana,59.310706,18.023130,null
740004383,Stockholm C Klarabergsviadukte,59.331105,18.058377,null
740010232,Danderyds sjukhus T-bana,59.391904,18.041372,null
740010947,Stockholm Nationalmuseum,59.328314,18.077452,null
740011060,Drevergatan,59.358526,18.091642,null
740011606,Tekniska Högskolan T-bana,59.345826,18.071712,null
740012127,Karolinska institutet Biomedicum,59.349801,18.025978,null
740012883,Kista T-bana,59.402864,17.942434,null
740012885,Tensta T-bana,59.394482,17.901165,null
740014450,Kanalvägen,59.308273,18.106498,null
740015539,Artemisgatan,59.353992,18.102329,null
740018279,Stockholm Blockhusudden,59.321329,18.154362,null
740018280,Stockholm Waldemarsudde,59.322645,18.111370,null
740018281,Stockholm Skansen,59.324006,18.101395,null
740018282,Stockholm Liljevalc Gröna Lund,59.325248,18.097138,null
740018283,Stockholm Kaknästornet Södra,59.333568,18.124835,null
740019408,Stockholm Nybroplan,59.332811,18.077014,null
740020101,Slussen T-bana,59.319495,18.072331,null
740020556,Stockholm Kaknästornet,59.334698,18.126406,null
740020581,Brommaplan T-bana,59.338390,17.939262,null
740020741,Stockholm Stadion,59.343790,18.077237,null
740020749,T-Centralen T-bana,59.330947,18.059263,null
740020755,Alvik T-bana,59.333635,17.980265,null
740020756,Gåshaga station,59.356925,18.229038,null
740020757,Ropsten T-bana,59.357298,18.102218,null
740021013,Odenplan T-bana,59.342956,18.049704,null
740021642,Solna centrum T-bana,59.358860,17.998974,null
740021644,Bergshamra T-bana,59.381508,18.036516,null
740021645,Universitetet T-bana,59.365567,18.054891,null
740021647,Stadion T-bana,59.342967,18.081701,null
740021649,Gärdet T-bana,59.347202,18.098793,null
740021650,Karlaplan T-bana,59.338811,18.090862,null
740021651,Östermalmstorg T-bana,59.334973,18.074083,null
740021653,Gamla Stan T-bana,59.323160,18.067620,null
740021654,Medborgarplatsen T-bana,59.314337,18.073551,null
740021655,Skanstull T-bana,59.307852,18.076228,null
740021656,Mariatorget T-bana,59.316958,18.063308,null
740021657,Zinkensdamm T-bana,59.317778,18.050152,null
740021658,Hornstull T-bana,59.315837,18.034021,null
740021659,Kungsträdgården T-bana,59.330784,18.073294,null
740021660,Rådhuset T-bana,59.330300,18.042068,null
740021661,Fridhemsplan T-bana,59.332199,18.029188,null
740021662,Stadshagen T-bana,59.336963,18.017318,null
740021663,Kristineberg T-bana,59.332811,18.003182,null
740021664,Thorildsplan T-bana,59.331814,18.015437,null
740021665,S:t Eriksplan T-bana,59.339654,18.036988,null
740021666,Rådmansgatan T-bana,59.340572,18.058775,null
740021667,Hötorget T-bana,59.335533,18.063539,null
740021668,Näckrosen T-bana,59.366738,17.983280,null
740021669,Västra Skogen T-bana,59.347479,18.003989,null
740021670,Huvudsta T-bana,59.349546,17.985695,null
740021671,Solna strand T-bana,59.354187,17.973982,null
740021672,Sundbyberg centrum T-bana,59.360897,17.972211,null
740021673,Duvbo T-bana,59.367892,17.964617,null
740021674,Rissne T-bana,59.375841,17.939959,null
740021675,Hallonbergen T-bana,59.375449,17.969215,null
740021676,Husby T-bana,59.410259,17.925637,null
740021677,Akalla T-bana,59.414813,17.912797,null
740021678,Hjulsta T-bana,59.396170,17.887712,null
740021679,Rinkeby T-bana,59.388163,17.928781,null
740021680,Hässelby Strand T-bana,59.361286,17.832352,null
740021681,Hässelby Gård T-bana,59.366900,17.843769,null
740021682,Johannelund T-bana,59.367943,17.857465,null
740021683,Vällingby T-bana,59.363249,17.872063,null
740021684,Råcksta T-bana,59.354807,17.881820,null
740021685,Blackeberg T-bana,59.348353,17.882797,null
740021686,Islandstorget T-bana,59.345857,17.894019,null
740021687,Ängbyplan T-bana,59.341885,17.907048,null
740021688,Åkeshov T-bana,59.342036,17.924900,null
740021689,Abrahamsberg T-bana,59.336683,17.952952,null
740021690,Stora Mossen T-bana,59.334534,17.966191,null
740021691,Skarpnäck T-bana,59.266819,18.133347,null
740021692,Bagarmossen T-bana,59.276264,18.131465,null
740021693,Kärrtorp T-bana,59.284505,18.114477,null
740021694,Björkhagen T-bana,59.291114,18.115521,null
740021695,Hammarbyhöjden T-bana,59.294765,18.104550,null
740021696,Farsta Strand T-bana,59.235008,18.101737,null
740021697,Farsta T-bana,59.243553,18.093284,null
740021698,Hökarängen T-bana,59.257922,18.082497,null
740021699,Gubbängen T-bana,59.262878,18.082039,null
740021700,Tallkrogen T-bana,59.271136,18.085327,null
740021701,Skogskyrkogården T-bana,59.279192,18.095499,null
740021702,Sandsborg T-bana,59.284787,18.092382,null
740021703,Blåsut T-bana,59.290243,18.091063,null
740021704,Skärmarbrink T-bana,59.295364,18.090441,null
740021705,Gullmarsplan T-bana,59.299116,18.080772,null
740021706,Globen T-bana,59.294280,18.077974,null
740021707,Enskede Gård T-bana,59.289394,18.070294,null
740021708,Sockenplan T-bana,59.283300,18.070591,null
740021709,Svedmyra T-bana,59.277638,18.067232,null
740021710,Stureby T-bana,59.274598,18.055626,null
740021711,Bandhagen T-bana,59.270402,18.049490,null
740021712,Högdalen T-bana,59.263797,18.043005,null
740021713,Rågsved T-bana,59.256580,18.028135,null
740021714,Hagsätra T-bana,59.262728,18.012487,null
740021715,Midsommarkransen T-bana,59.301852,18.012036,null
740021716,Telefonplan T-bana,59.298321,17.997235,null
740021717,Hägerstensåsen T-bana,59.295571,17.979152,null
740021718,Västertorp T-bana,59.291379,17.966667,null
740021719,Fruängen T-bana,59.285929,17.965006,null
740021720,Aspudden T-bana,59.306449,18.001446,null
740021721,Örnsberg T-bana,59.305532,17.989200,null
740021722,Axelsberg T-bana,59.304361,17.974919,null
740021723,Mälarhöjden T-bana,59.300918,17.957282,null
740021724,Bredäng T-bana,59.294838,17.933813,null
740021725,Sätra T-bana,59.284984,17.921370,null
740021726,Skärholmen T-bana,59.277144,17.907005,null
740021727,Vårberg T-bana,59.275933,17.890158,null
740021728,Vårby Gård T-bana,59.264612,17.884397,null
740021729,Masmo T-bana,59.249682,17.880333,null
740021730,Fittja T-bana,59.247465,17.860968,null
740021731,Alby T-bana,59.239495,17.845328,null
740021732,Hallunda T-bana,59.243269,17.825607,null
740021733,Norsborg T-bana,59.243791,17.814525,null
740023962,Lidingö Aga station,59.346623,18.155018,null
740023963,Lidingö Baggeby station,59.356882,18.133778,null
740023964,Brevik,59.348298,18.203612,null
740023965,Lidingö Skärsätra station,59.343346,18.170369,null
740023966,Gåshaga brygga station,59.356866,18.234135,null
740024684,Årsta Valla Torg Spårv,59.295017,18.048425,null
740024788,Lidingö Torsvik station,59.361908,18.117798,null
740024789,Lidingö Bodal station,59.353656,18.138445,null
740024790,Lidingö Larsberg station,59.350483,18.146141,null
740024791,Lidingö Kottla station,59.344433,18.179727,null
740024792,Brevik Högberga Spårv,59.343938,18.193090,null
740024793,Käppala station,59.352730,18.217941,null
740024806,Henriksdal station,59.312275,18.108156,null
740024807,Sickla station,59.306816,18.121328,null
740024814,Äppelviken Alléparken Spårv,59.328952,17.973551,null
740024815,Äppelviken Klövervägen,59.324534,17.974078,null
740024816,Smedslätten Spårv,59.320897,17.964360,null
740024817,Ålsten Ålstensgatan Spårv,59.323443,17.956474,null
740024818,Höglandstorget Spårv,59.323319,17.940021,null
740024819,Olovslund Spårv,59.327905,17.935231,null
740024820,Nockeby torg Spårv,59.328987,17.928304,null
740024852,Nacka Strand,59.316409,18.160276,null
740024853,Jarlaberg,59.315569,18.169476,null
740024918,Årsta Linde Spårv,59.293263,18.063634,null
740024919,Årsta Årstafältet Spårv,59.296343,18.039716,null
740024920,Årstaberg station,59.299235,18.030232,null
740024921,Årsta Årstadal Spårv,59.306498,18.025561,null
740024922,Liljeholmen Trekanten Spårv,59.314164,18.018349,null
740024923,Gröndal Spårv,59.315928,18.011209,null
740024924,Stockholm Stora Essingen,59.324775,17.992982,null
740024925,Alvik Strand Spårv,59.327687,17.982098,null
740024926,Stockholm Sickla Kaj,59.302774,18.103616,null
740024927,Stockholm Sickla Udde,59.306248,18.108768,null
740024928,Stockholm Mårtensdal,59.302687,18.088105,null
740024929,Stockholm Luma,59.304044,18.094728,null
740035997,T-Centralen Spårv,59.332127,18.062135,null
740037355,Stockholm Kungsträdgården,59.332786,18.071265,null
740038313,Sickla udde,59.306457,18.108132,null
740039043,Stockholm Mariatorget,59.318883,18.062558,null
740045261,Stockholm Rådhuset,59.331035,18.044225,null
740045277,Stockholm Musikhögskolan,59.342993,18.081773,null
740045404,ArkDes/Moderna museet,59.325170,18.085220,null
740045460,Stockholm Östasiatiska museet,59.326315,18.080833,null
740045461,Stockholm Karl XII:s torg,59.329912,18.073341,null
740045462,Stockholm Södra stn Rosenlunds,59.312699,18.057739,null
740045463,Stockholm Södra stn Swedenborg,59.314092,18.064910,null
740045464,Stockholm Östermalmstorg,59.336341,18.080062,null
740045465,Stockholm Stureplan,59.335993,18.073272,null
740045510,Universitetet södra,59.361011,18.056120,null
740045900,Nacka Lillängen,59.307399,18.158424,null
740045902,Nacka Sickla köpkvarter,59.304232,18.128738,null
740045904,Nacka Sickla allé,59.303607,18.118423,null
740045908,Nacka gymnasium,59.311523,18.152860,null
740045948,Stadshagsplan,59.337396,18.021442,null
740045949,John Bergs plan,59.336274,18.021931,null
740045951,Arbetargatan,59.335212,18.027328,null
740045952,S:t Eriksgatan (Fleminggatan),59.334638,18.031509,null
740045953,Frihamnens färjeterminal,59.342564,18.118891,null
740045954,S:t Eriks ögonsjukhus,59.333760,18.038200,null
740045955,Scheelegatan,59.332967,18.044159,null
740045956,Kungsbroplan,59.332400,18.048410,null
740045957,Ruddammen,59.352219,18.058774,null
740045960,Linnégatan,59.338667,18.074891,null
740045961,Humlegården (på Karlavägen),59.340474,18.076366,null
740045962,Ruddammsparken,59.351897,18.063395,null
740045963,Nybrogatan,59.339639,18.080951,null
740045964,Jungfrugatan,59.341932,18.085956,null
740045965,Valhallavägen/Erik Dahlbergsgatan,59.341203,18.090654,null
740045966,Skeppargatan,59.338547,18.086432,null
740045967,Värtavägen,59.339930,18.094611,null
740045968,Hakberget,59.338319,18.101446,null
740045969,Oxenstiernsgatan,59.337409,18.102158,null
740045970,Filmhuset,59.339264,18.104885,null
740045971,Lindarängsvägen,59.339472,18.112476,null
740045972,Frihamnsporten,59.340465,18.114178,null
740045973,Sehlstedtsgatan,59.342227,18.112030,null
740045974,Östhammarsgatan,59.342939,18.110355,null
740045975,Rökubbsgatan,59.344849,18.109517,null
740045976,Sandhamnsplan,59.346789,18.107433,null
740045977,Rigagatan,59.338649,18.098551,null
740045980,Mariedal,59.339051,18.017015,null
740045981,Kronobergsgatan (på Kungsholms strand),59.336670,18.035579,null
740045983,Igeldammsgatan,59.338726,18.023480,null
740045984,Fridhemsgatan (på Kungsholms strand),59.337234,18.032030,null
740045985,Industrigatan,59.338064,18.027057,null
740045989,Historiska museet,59.334677,18.091534,null
740045991,Berwaldhallen,59.333104,18.098774,null
